latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,0,GMT,GMT

time,temperature_2m (°C),weather_code (wmo code),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snow_depth (m),snowfall (cm)
2025-06-17T00:00,16.2,0,74,11.6,15.2,0.00,0.00,0.00,0.00
2025-06-17T01:00,14.6,1,81,11.4,13.8,0.00,0.00,0.00,0.00
2025-06-17T02:00,14.0,0,84,11.4,13.3,0.00,0.00,0.00,0.00
2025-06-17T03:00,13.5,1,87,11.3,12.7,0.00,0.00,0.00,0.00
2025-06-17T04:00,13.8,1,86,11.4,13.0,0.00,0.00,0.00,0.00
2025-06-17T05:00,14.7,0,81,11.5,14.0,0.00,0.00,0.00,0.00
2025-06-17T06:00,15.9,0,75,11.4,15.2,0.00,0.00,0.00,0.00
2025-06-17T07:00,17.4,0,68,11.5,16.7,0.00,0.00,0.00,0.00
2025-06-17T08:00,19.0,1,62,11.6,18.4,0.00,0.00,0.00,0.00
2025-06-17T09:00,20.5,2,57,11.8,20.6,0.00,0.00,0.00,0.00
2025-06-17T10:00,22.0,2,52,11.7,22.5,0.00,0.00,0.00,0.00
2025-06-17T11:00,23.5,2,46,11.2,24.1,0.00,0.00,0.00,0.00
2025-06-17T12:00,24.6,3,42,10.8,25.1,0.00,0.00,0.00,0.00
2025-06-17T13:00,25.2,3,41,11.1,25.4,0.00,0.00,0.00,0.00
2025-06-17T14:00,25.8,3,40,11.0,25.7,0.00,0.00,0.00,0.00
2025-06-17T15:00,26.0,3,39,10.8,25.2,0.00,0.00,0.00,0.00
2025-06-17T16:00,25.9,3,38,10.6,24.9,0.00,0.00,0.00,0.00
2025-06-17T17:00,25.5,2,40,10.8,24.6,0.00,0.00,0.00,0.00
2025-06-17T18:00,24.9,3,43,11.4,24.3,0.00,0.00,0.00,0.00
2025-06-17T19:00,23.7,3,54,14.0,24.6,0.00,0.00,0.00,0.00
2025-06-17T20:00,22.7,3,57,13.7,23.3,0.00,0.00,0.00,0.00
2025-06-17T21:00,22.2,3,56,12.9,22.3,0.00,0.00,0.00,0.00
2025-06-17T22:00,21.6,3,58,12.9,21.6,0.00,0.00,0.00,0.00
2025-06-17T23:00,20.7,1,60,12.7,20.5,0.00,0.00,0.00,0.00
2025-06-18T00:00,19.5,0,66,13.1,19.3,0.00,0.00,0.00,0.00
2025-06-18T01:00,17.9,0,73,13.0,17.9,0.00,0.00,0.00,0.00
2025-06-18T02:00,17.1,1,76,12.7,16.9,0.00,0.00,0.00,0.00
2025-06-18T03:00,16.4,3,78,12.5,16.3,0.00,0.00,0.00,0.00
2025-06-18T04:00,16.8,3,76,12.6,16.7,0.00,0.00,0.00,0.00
2025-06-18T05:00,18.3,3,71,12.9,18.5,0.00,0.00,0.00,0.00
2025-06-18T06:00,20.1,3,63,12.9,20.2,0.00,0.00,0.00,0.00
2025-06-18T07:00,22.0,3,56,12.9,21.5,0.00,0.00,0.00,0.00
2025-06-18T08:00,23.2,0,52,12.9,22.6,0.00,0.00,0.00,0.00
2025-06-18T09:00,24.3,3,48,12.6,23.9,0.00,0.00,0.00,0.00
2025-06-18T10:00,25.1,3,43,11.6,24.6,0.00,0.00,0.00,0.00
2025-06-18T11:00,26.0,3,37,10.2,25.2,0.00,0.00,0.00,0.00
2025-06-18T12:00,26.6,2,34,9.6,25.7,0.00,0.00,0.00,0.00
2025-06-18T13:00,27.3,3,32,9.3,25.2,0.00,0.00,0.00,0.00
2025-06-18T14:00,26.3,3,38,10.8,24.1,0.00,0.00,0.00,0.00
2025-06-18T15:00,26.3,3,36,10.2,23.6,0.00,0.00,0.00,0.00
2025-06-18T16:00,25.6,3,38,10.4,23.0,0.00,0.00,0.00,0.00
2025-06-18T17:00,24.8,3,40,10.3,22.9,0.00,0.00,0.00,0.00
2025-06-18T18:00,24.2,3,42,10.6,22.5,0.00,0.00,0.00,0.00
2025-06-18T19:00,23.3,3,46,11.0,22.2,0.00,0.00,0.00,0.00
2025-06-18T20:00,22.0,3,52,11.8,21.5,0.00,0.00,0.00,0.00
2025-06-18T21:00,20.9,3,58,12.3,21.0,0.00,0.00,0.00,0.00
2025-06-18T22:00,20.5,3,61,12.7,20.6,0.00,0.00,0.00,0.00
2025-06-18T23:00,19.8,3,64,12.9,19.3,0.00,0.00,0.00,0.00
2025-06-19T00:00,19.3,2,66,12.8,18.4,0.00,0.00,0.00,0.00
2025-06-19T01:00,18.9,1,66,12.4,17.6,0.00,0.00,0.00,0.00
2025-06-19T02:00,17.3,0,72,12.1,16.0,0.00,0.00,0.00,0.00
2025-06-19T03:00,15.9,0,75,11.5,14.5,0.00,0.00,0.00,0.00
2025-06-19T04:00,15.3,0,72,10.3,13.5,0.00,0.00,0.00,0.00
2025-06-19T05:00,15.4,0,67,9.3,13.3,0.00,0.00,0.00,0.00
2025-06-19T06:00,16.2,0,62,8.8,13.9,0.00,0.00,0.00,0.00
2025-06-19T07:00,17.5,0,53,7.8,14.9,0.00,0.00,0.00,0.00
2025-06-19T08:00,18.7,0,46,6.8,16.0,0.00,0.00,0.00,0.00
2025-06-19T09:00,20.2,1,39,5.9,17.2,0.00,0.00,0.00,0.00
2025-06-19T10:00,21.1,3,34,4.7,17.6,0.00,0.00,0.00,0.00
2025-06-19T11:00,21.5,1,34,4.9,17.9,0.00,0.00,0.00,0.00
2025-06-19T12:00,22.2,2,31,4.1,18.3,0.00,0.00,0.00,0.00
2025-06-19T13:00,21.9,2,32,4.7,17.7,0.00,0.00,0.00,0.00
2025-06-19T14:00,22.3,1,31,4.2,17.9,0.00,0.00,0.00,0.00
2025-06-19T15:00,22.2,1,31,4.2,17.9,0.00,0.00,0.00,0.00
2025-06-19T16:00,21.7,1,33,4.5,17.5,0.00,0.00,0.00,0.00
2025-06-19T17:00,21.0,2,34,4.5,17.1,0.00,0.00,0.00,0.00
2025-06-19T18:00,19.8,0,38,5.1,16.2,0.00,0.00,0.00,0.00
2025-06-19T19:00,18.9,1,41,5.5,15.8,0.00,0.00,0.00,0.00
2025-06-19T20:00,17.5,1,48,6.3,14.9,0.00,0.00,0.00,0.00
2025-06-19T21:00,16.4,2,52,6.6,14.2,0.00,0.00,0.00,0.00
2025-06-19T22:00,15.8,3,55,6.8,14.0,0.00,0.00,0.00,0.00
2025-06-19T23:00,15.3,0,58,7.0,13.5,0.00,0.00,0.00,0.00
2025-06-20T00:00,14.5,0,62,7.2,12.7,0.00,0.00,0.00,0.00
2025-06-20T01:00,12.6,0,71,7.4,10.8,0.00,0.00,0.00,0.00
2025-06-20T02:00,11.9,0,75,7.7,10.1,0.00,0.00,0.00,0.00
2025-06-20T03:00,11.2,0,80,7.9,9.5,0.00,0.00,0.00,0.00
2025-06-20T04:00,11.5,0,79,8.0,9.9,0.00,0.00,0.00,0.00
2025-06-20T05:00,12.7,0,74,8.1,11.2,0.00,0.00,0.00,0.00
2025-06-20T06:00,14.3,0,68,8.4,12.9,0.00,0.00,0.00,0.00
2025-06-20T07:00,16.0,0,59,8.1,14.5,0.00,0.00,0.00,0.00
2025-06-20T08:00,17.8,1,49,7.0,15.8,0.00,0.00,0.00,0.00
2025-06-20T09:00,18.7,0,45,6.5,17.2,0.00,0.00,0.00,0.00
2025-06-20T10:00,20.0,0,41,6.2,19.2,0.00,0.00,0.00,0.00
2025-06-20T11:00,21.0,0,38,6.3,20.7,0.00,0.00,0.00,0.00
2025-06-20T12:00,21.9,0,37,6.5,21.7,0.00,0.00,0.00,0.00
2025-06-20T13:00,22.9,0,34,6.2,22.5,0.00,0.00,0.00,0.00
2025-06-20T14:00,23.5,0,32,5.6,22.5,0.00,0.00,0.00,0.00
2025-06-20T15:00,23.6,0,30,4.9,21.8,0.00,0.00,0.00,0.00
2025-06-20T16:00,23.6,0,29,4.4,21.0,0.00,0.00,0.00,0.00
2025-06-20T17:00,23.2,0,29,4.3,20.8,0.00,0.00,0.00,0.00
2025-06-20T18:00,22.7,0,30,4.4,20.3,0.00,0.00,0.00,0.00
2025-06-20T19:00,21.8,0,34,5.1,19.5,0.00,0.00,0.00,0.00
2025-06-20T20:00,20.2,0,42,6.8,18.3,0.00,0.00,0.00,0.00
